point,coordinates
1_Geneve_center,"6.082622,46.191428"
1_Geneve_vertex1,"6.085212,46.191459"
1_Geneve_vertex2,"6.083878,46.193002"
1_Geneve_vertex3,"6.081288,46.19297"
1_Geneve_vertex4,"6.080032,46.191397"
1_Geneve_vertex5,"6.081365,46.189855"
1_Geneve_vertex6,"6.083956,46.189886"
2_Geneve_center,"6.082544,46.194544"
2_Geneve_vertex1,"6.085134,46.194575"
2_Geneve_vertex2,"6.0838,46.196117"
2_Geneve_vertex3,"6.08121,46.196086"
2_Geneve_vertex4,"6.079954,46.194513"
3_Geneve_center,"6.082466,46.19766"
3_Geneve_vertex1,"6.085057,46.197691"
3_Geneve_vertex2,"6.083723,46.199233"
3_Geneve_vertex3,"6.081132,46.199202"
3_Geneve_vertex4,"6.079876,46.197628"
4_Geneve_center,"6.082389,46.200775"
4_Geneve_vertex1,"6.084979,46.200806"
4_Geneve_vertex2,"6.083645,46.202349"
4_Geneve_vertex3,"6.081054,46.202317"
4_Geneve_vertex4,"6.079798,46.200744"
5_Geneve_center,"6.082311,46.203891"
5_Geneve_vertex1,"6.084902,46.203922"
5_Geneve_vertex2,"6.083568,46.205464"
5_Geneve_vertex3,"6.080977,46.205433"
5_Geneve_vertex4,"6.07972,46.20386"
6_Geneve_center,"6.082233,46.207007"
6_Geneve_vertex1,"6.084824,46.207038"
6_Geneve_vertex2,"6.08349,46.20858"
6_Geneve_vertex3,"6.080899,46.208549"
6_Geneve_vertex4,"6.079642,46.206975"
7_Geneve_center,"6.082156,46.210122"
7_Geneve_vertex1,"6.084747,46.210153"
7_Geneve_vertex2,"6.083412,46.211696"
7_Geneve_vertex3,"6.080821,46.211665"
7_Geneve_vertex4,"6.079565,46.210091"
8_Geneve_center,"6.082078,46.213238"
8_Geneve_vertex1,"6.084669,46.213269"
8_Geneve_vertex2,"6.083335,46.214811"
8_Geneve_vertex3,"6.080743,46.21478"
8_Geneve_vertex4,"6.079487,46.213207"
9_Geneve_center,"6.082,46.216354"
9_Geneve_vertex1,"6.084592,46.216385"
9_Geneve_vertex2,"6.083257,46.217927"
9_Geneve_vertex3,"6.080666,46.217896"
9_Geneve_vertex4,"6.079409,46.216323"
10_Geneve_center,"6.086701,46.183686"
10_Geneve_vertex1,"6.08929,46.183717"
10_Geneve_vertex2,"6.087957,46.185259"
10_Geneve_vertex3,"6.085367,46.185228"
10_Geneve_vertex4,"6.084111,46.183654"
10_Geneve_vertex5,"6.085444,46.182112"
10_Geneve_vertex6,"6.088034,46.182143"
11_Geneve_center,"6.086623,46.186801"
11_Geneve_vertex1,"6.089213,46.186832"
11_Geneve_vertex2,"6.087879,46.188375"
11_Geneve_vertex3,"6.085289,46.188344"
11_Geneve_vertex4,"6.084033,46.18677"
12_Geneve_center,"6.086546,46.189917"
12_Geneve_vertex1,"6.089136,46.189948"
12_Geneve_vertex2,"6.087802,46.19149"
13_Geneve_center,"6.086468,46.193033"
13_Geneve_vertex1,"6.089059,46.193064"
13_Geneve_vertex2,"6.087725,46.194606"
14_Geneve_center,"6.086391,46.196148"
14_Geneve_vertex1,"6.088981,46.196179"
14_Geneve_vertex2,"6.087647,46.197722"
15_Geneve_center,"6.086313,46.199264"
15_Geneve_vertex1,"6.088904,46.199295"
15_Geneve_vertex2,"6.08757,46.200837"
16_Geneve_center,"6.086236,46.20238"
16_Geneve_vertex1,"6.088827,46.202411"
16_Geneve_vertex2,"6.087493,46.203953"
17_Geneve_center,"6.086158,46.205495"
17_Geneve_vertex1,"6.088749,46.205526"
17_Geneve_vertex2,"6.087415,46.207069"
18_Geneve_center,"6.086081,46.208611"
18_Geneve_vertex1,"6.088672,46.208642"
18_Geneve_vertex2,"6.087338,46.210184"
19_Geneve_center,"6.086003,46.211727"
19_Geneve_vertex1,"6.088595,46.211758"
19_Geneve_vertex2,"6.08726,46.2133"
20_Geneve_center,"6.085926,46.214843"
20_Geneve_vertex1,"6.088517,46.214874"
20_Geneve_vertex2,"6.087183,46.216416"
21_Geneve_center,"6.085848,46.217958"
21_Geneve_vertex1,"6.08844,46.217989"
21_Geneve_vertex2,"6.087105,46.219532"
21_Geneve_vertex3,"6.084514,46.219501"
22_Geneve_center,"6.085771,46.221074"
22_Geneve_vertex1,"6.088363,46.221105"
22_Geneve_vertex2,"6.087028,46.222647"
22_Geneve_vertex3,"6.084436,46.222616"
22_Geneve_vertex4,"6.083179,46.221043"
23_Geneve_center,"6.085693,46.22419"
23_Geneve_vertex1,"6.088285,46.224221"
23_Geneve_vertex2,"6.086951,46.225763"
23_Geneve_vertex3,"6.084359,46.225732"
23_Geneve_vertex4,"6.083102,46.224159"
24_Geneve_center,"6.090701,46.179058"
24_Geneve_vertex1,"6.093291,46.179089"
24_Geneve_vertex2,"6.091957,46.180632"
24_Geneve_vertex3,"6.089368,46.180601"
24_Geneve_vertex4,"6.088111,46.179027"
24_Geneve_vertex5,"6.089445,46.177485"
24_Geneve_vertex6,"6.092034,46.177516"
25_Geneve_center,"6.090624,46.182174"
25_Geneve_vertex1,"6.093214,46.182205"
25_Geneve_vertex2,"6.09188,46.183747"
26_Geneve_center,"6.090547,46.18529"
26_Geneve_vertex1,"6.093137,46.185321"
26_Geneve_vertex2,"6.091803,46.186863"
27_Geneve_center,"6.090469,46.188406"
27_Geneve_vertex1,"6.09306,46.188436"
27_Geneve_vertex2,"6.091726,46.189979"
28_Geneve_center,"6.090392,46.191521"
28_Geneve_vertex1,"6.092982,46.191552"
28_Geneve_vertex2,"6.091649,46.193095"
29_Geneve_center,"6.090315,46.194637"
29_Geneve_vertex1,"6.092905,46.194668"
29_Geneve_vertex2,"6.091572,46.19621"
30_Geneve_center,"6.090238,46.197753"
30_Geneve_vertex1,"6.092828,46.197784"
30_Geneve_vertex2,"6.091494,46.199326"
31_Geneve_center,"6.090161,46.200868"
31_Geneve_vertex1,"6.092751,46.200899"
31_Geneve_vertex2,"6.091417,46.202442"
32_Geneve_center,"6.090083,46.203984"
32_Geneve_vertex1,"6.092674,46.204015"
32_Geneve_vertex2,"6.09134,46.205557"
33_Geneve_center,"6.090006,46.2071"
33_Geneve_vertex1,"6.092597,46.207131"
33_Geneve_vertex2,"6.091263,46.208673"
34_Geneve_center,"6.089929,46.210215"
34_Geneve_vertex1,"6.09252,46.210246"
34_Geneve_vertex2,"6.091186,46.211789"
35_Geneve_center,"6.089852,46.213331"
35_Geneve_vertex1,"6.092443,46.213362"
35_Geneve_vertex2,"6.091109,46.214905"
36_Geneve_center,"6.089774,46.216447"
36_Geneve_vertex1,"6.092366,46.216478"
36_Geneve_vertex2,"6.091031,46.21802"
37_Geneve_center,"6.089697,46.219563"
37_Geneve_vertex1,"6.092289,46.219594"
37_Geneve_vertex2,"6.090954,46.221136"
38_Geneve_center,"6.08962,46.222678"
38_Geneve_vertex1,"6.092211,46.222709"
38_Geneve_vertex2,"6.090877,46.224252"
39_Geneve_center,"6.089542,46.225794"
39_Geneve_vertex1,"6.092134,46.225825"
39_Geneve_vertex2,"6.0908,46.227367"
39_Geneve_vertex3,"6.088208,46.227336"
40_Geneve_center,"6.089465,46.22891"
40_Geneve_vertex1,"6.092057,46.228941"
40_Geneve_vertex2,"6.090722,46.230483"
40_Geneve_vertex3,"6.08813,46.230452"
40_Geneve_vertex4,"6.086873,46.228879"
41_Geneve_center,"6.094624,46.177547"
41_Geneve_vertex1,"6.097213,46.177578"
41_Geneve_vertex2,"6.09588,46.17912"
41_Geneve_vertex5,"6.093368,46.175974"
41_Geneve_vertex6,"6.095957,46.176005"
42_Geneve_center,"6.094547,46.180663"
42_Geneve_vertex1,"6.097137,46.180693"
42_Geneve_vertex2,"6.095803,46.182236"
43_Geneve_center,"6.09447,46.183778"
43_Geneve_vertex1,"6.09706,46.183809"
43_Geneve_vertex2,"6.095726,46.185352"
44_Geneve_center,"6.094393,46.186894"
44_Geneve_vertex1,"6.096983,46.186925"
44_Geneve_vertex2,"6.09565,46.188467"
45_Geneve_center,"6.094316,46.19001"
45_Geneve_vertex1,"6.096906,46.190041"
45_Geneve_vertex2,"6.095573,46.191583"
46_Geneve_center,"6.094239,46.193125"
46_Geneve_vertex1,"6.096829,46.193156"
46_Geneve_vertex2,"6.095496,46.194699"
47_Geneve_center,"6.094162,46.196241"
47_Geneve_vertex1,"6.096752,46.196272"
47_Geneve_vertex2,"6.095419,46.197814"
48_Geneve_center,"6.094085,46.199357"
48_Geneve_vertex1,"6.096676,46.199388"
48_Geneve_vertex2,"6.095342,46.20093"
49_Geneve_center,"6.094008,46.202473"
49_Geneve_vertex1,"6.096599,46.202503"
49_Geneve_vertex2,"6.095265,46.204046"
50_Geneve_center,"6.093931,46.205588"
50_Geneve_vertex1,"6.096522,46.205619"
50_Geneve_vertex2,"6.095188,46.207162"
51_Geneve_center,"6.093854,46.208704"
51_Geneve_vertex1,"6.096445,46.208735"
51_Geneve_vertex2,"6.095111,46.210277"
52_Geneve_center,"6.093777,46.21182"
52_Geneve_vertex1,"6.096368,46.211851"
52_Geneve_vertex2,"6.095034,46.213393"
53_Geneve_center,"6.0937,46.214935"
53_Geneve_vertex1,"6.096291,46.214966"
53_Geneve_vertex2,"6.094957,46.216509"
54_Geneve_center,"6.093623,46.218051"
54_Geneve_vertex1,"6.096214,46.218082"
54_Geneve_vertex2,"6.09488,46.219624"
55_Geneve_center,"6.093546,46.221167"
